Park Name,Cross Streets,Maps Link,District*,Type,Has Restroom?,Has Dogrun?,Has Outdoor Pool?,Has Indoor Pool?,Park Code,Comments/Nearby Landmarks/Food Nearby
Alley Pond Park,"Little Neck Bay to Springfield Blvd, Union Tpke","https://www.google.com/maps/search/40.74407125580,-73.74422606570",19,Flagship Park,TRUE,TRUE,FALSE,FALSE,Q001 ,
Alley Athletic Playground,Winchester Blvd. bet. Union Tpke. and the Grand Central Pkwy.,"https://www.google.com/maps/search/40.73978481510,-73.73631691950",23,Recreation Field/Courts,TRUE,FALSE,FALSE,FALSE,Q001A,
Grover Cleveland Playground,Stanhope St. bet. Fairvier Ave. and Grandview Ave.,"https://www.google.com/maps/search/40.71083731740,-73.91119339490",34,Neighborhood Park,TRUE,FALSE,FALSE,FALSE,Q002 ,
Ashmead Park,Liberty Ave. bet. 168 St. and 168 Pl. ,"https://www.google.com/maps/search/40.70291214210,-73.79027566740",27,Triangle/Plaza,FALSE,FALSE,FALSE,FALSE,Q003 ,
Astoria Park,19 St. bet. Astoria Park S. and Ditmars Blvd. ,"https://www.google.com/maps/search/40.77873713780,-73.92309519710",22,Community Park,TRUE,TRUE,TRUE,FALSE,Q004 ,
Ralph Demarco Park,Shore Blvd. bet. Ditmars Blvd. and 20 Ave.,"https://www.google.com/maps/search/40.78395099920,-73.91764155470",22,Neighborhood Park,FALSE,TRUE,FALSE,FALSE,Q004A,
Baisley Pond Park,"N. Conduit Ave., 116 Ave. bet. 150 St., Suptin Blvd., and Baisley Blvd. S. ","https://www.google.com/maps/search/40.67789314720,-73.78571057240",28,Community Park,TRUE,TRUE,FALSE,FALSE,Q005 ,
Bowne Park,"29 Ave., 32 Ave. bet. 155 St. and 159 St.","https://www.google.com/maps/search/40.77051603620,-73.80732223270",19,Neighborhood Park,TRUE,FALSE,FALSE,FALSE,Q006 ,
Bayswater Park,"Dwight Ave., Seagirt Blvd. bet. Beach 38 St. and Bay 32 St.","https://www.google.com/maps/search/40.59782191010,-73.76868930660",31,Community Park,TRUE,TRUE,FALSE,FALSE,Q007 ,
Brookville Park,"S. Conduit Ave., 149 Ave. bet. 232 St. and 235 St. ","https://www.google.com/maps/search/40.66152151800,-73.74415443950",31,Community Park,TRUE,FALSE,FALSE,FALSE,Q008 ,
