,Playground ID,Latitude,Longitude
0,Q445,40.7848,-73.833
1,Q005,40.6848,-73.7864
2,Q121,40.702,-73.7836
3,Q051,40.6936,-73.778
4,Q021,40.7393,-73.7653
5,Q094,40.6733,-73.8546
6,Q338,40.771,-73.7376
7,Q285,40.6773,-73.8354
8,Q099,40.7226,-73.827
9,Q001,40.7394,-73.7343
10,Q356,40.747,-73.746
11,Q001,40.7415,-73.7488
12,Q443,40.5932,-73.7947
13,Q378,40.6816,-73.8568
14,Q045,40.7433,-73.9547
15,Q319,40.7311,-73.8516
16,Q313,40.5929,-73.7854
17,Q123,40.768,-73.9327
18,Q014,40.7608,-73.9116
19,Q436,40.7678,-73.9228
20,Q397,40.766,-73.7942
21,Q005,40.6692,-73.7881
22,Q357,40.7363,-73.8549
23,Q399,40.7825,-73.7774
24,Q389,40.585,-73.8249
25,Q007,40.5989,-73.767
26,Q162,40.5947,-73.7498
27,Q162,40.5926,-73.7617
28,Q162,40.5892,-73.7891
29,Q162,40.5958,-73.7446
30,Q403,40.589,-73.8055
31,Q322,40.7217,-73.7581
32,Q328,40.733,-73.7178
33,Q038,40.7071,-73.8985
34,Q205,40.7403,-73.9021
35,Q326,40.7582,-73.8313
36,Q006,40.7705,-73.8059
37,Q308,40.758,-73.8247
38,Q134,40.7263,-73.729
39,Q379,40.7107,-73.8108
40,Q460,40.6006,-73.82
41,Q008,40.6621,-73.7421
42,Q008,40.6632,-73.7414
43,Q012,40.771,-73.7714
44,Q099,40.75,-73.8416
45,Q339,40.6885,-73.7422
46,Q300,40.7433,-73.8147
47,Q052,40.7126,-73.7992
48,Q382,40.5932,-73.7866
49,Q327,40.75,-73.7206
50,Q376,40.7362,-73.8245
51,Q386,40.6702,-73.8393
52,Q346,40.7571,-73.7281
53,Q004,40.7798,-73.9224
54,Q390,40.7831,-73.8065
55,Q347,40.7701,-73.827
56,Q394,40.5956,-73.7806
57,QT05,40.726,-73.9056
58,Q450,40.7477,-73.8541
59,Q483,40.7438,-73.8583
60,Q360,40.7295,-73.8801
61,Q106,40.7003,-73.7583
62,Q307,40.6844,-73.7291
63,Q358,40.7324,-73.7316
64,Q385,40.7714,-73.9074
65,Q015,40.7025,-73.8676
66,Q218,40.7578,-73.933
67,Q404,40.6987,-73.7401
68,Q304,40.7158,-73.8373
69,Q342,40.7356,-73.8055
70,Q300,40.7448,-73.7879
71,Q492,40.7301,-73.885
72,Q344,40.7307,-73.806
73,Q053,40.6917,-73.8534
74,Q302,40.6973,-73.8969
75,Q221,40.7358,-73.777
76,Q458,40.7941,-73.778
77,Q024,40.7427,-73.8082
78,Q126,40.7965,-73.8246
79,Q381,40.7606,-73.784
80,Q098,40.7444,-73.8866
81,Q119,40.6832,-73.8082
82,Q370,40.7232,-73.8202
83,Q314,40.7344,-73.7964
84,Q360,40.7248,-73.895
85,Q456,40.6062,-73.8192
86,Q067,40.7488,-73.8975
87,Q015,40.6989,-73.8476
88,Q310,40.7496,-73.7162
89,Q085,40.7617,-73.8842
90,Q353,40.5995,-73.7593
91,Q015,40.7013,-73.856
92,Q002,40.7115,-73.911
93,Q359,40.7131,-73.7585
94,Q226,40.7718,-73.9344
95,Q226,40.7742,-73.9376
96,Q367,40.5882,-73.8097
97,Q408,40.6648,-73.8506
98,Q419,40.7741,-73.8195
99,Q120,40.7094,-73.7817
100,Q089,40.7826,-73.8238
101,Q373,40.7657,-73.8716
102,Q352,40.7407,-73.713
103,Q360,40.7328,-73.8713
104,Q405,40.7066,-73.7532
105,Q300,40.7412,-73.7762
106,Q220,40.7104,-73.8202
107,Q428,40.7332,-73.8602
108,Q001,40.7587,-73.7536
109,Q105,40.6998,-73.8129
110,Q066,40.7718,-73.9171
111,Q360,40.7254,-73.9015
112,Q471,40.743,-73.9604
113,Q471,40.7401,-73.9603
114,Q015,40.701,-73.8427
115,Q301,40.6932,-73.7903
116,Q391,40.7155,-73.8014
117,Q015,40.7076,-73.8514
